"molecule_SMILES","UniProt_ID","affinity_score"
"CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=COC4=C3C(=NC=C4C#CCN5CCOCC5)N","Q00535",65.2
"C1=CC=C2C(=C1)NC3=C(C=CC(=C3)C4=C(C=NC=C4)Cl)C(=O)N2","P24941",70.2
"CCN1C2=CC(=C(C=C2C(=O)C3=C1NOC3=O)F)Cl","P11362",64
"C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)C4=CC(=CC=C4)C(=O)N","P49840",75.2
"C1=CC=C2C(=C1)C(=CN2)C[C@@H](COC3=CN=CC(=C3)C4=CC5=CC(=NC=C5C=C4)N)N","P31749",78.2
"C1CCC(C1)N2C3=C(C(=N2)C4=CC5=CC=CC=C5N=C4)C(=NC=N3)N","P35968",67.1
"C[C@]12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CN=CC=C9)OC","P00533",62.7
"C1=CC=C(C(=C1)CC(=O)NC2=CC3=C(C=C2)C=NN3)Cl","P28482",62.7
"CCCC(=O)NC1=NNC2=C1C=C(C=C2)C3=CN(N=N3)CC4=CC=CC=C4","Q7L7X3",62.1
"CCOC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)N)Cl","Q7L7X3",62.1
"C1CC2CC[C@](CN2[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C3=NC4=CC=CC=C4S3)(CC5=CC=CC=C5)N","O94806",67.7
"CN1CCC(CC1)C(=O)N2C3=C(C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)C(=N2)N","P49760",64.6
"CN1C=C(C=N1)NC2=NC=C(C(=N2)NC3=CC=CC=C3C(=O)N)Br","P49760",83.2
"C1CN(CCC1C2=C(C(=NN2)C3=C(C=C(C=C3)Cl)F)C4=NC=NC=C4)C(=O)CO","P11309",62.1
"CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CC[C@@H]2O)C)[C@H](C)/C=C/CC(C)C","P08069",65.2
"CC1=C(SC(=C1)C(=O)NC(C)C2=CC(=CC=C2)OC)C3=CC4=C(NN=C4C=C3)C","Q9HAZ1",77.6
"CCN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC5=C(C=C4)NN=C5)C#N","P08581",65.8
"CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3CC4CC4)C5=C(C=C(C=C5)F)F)O","P48729",69.6
