mol_representation,combination_method,model,hyperparams,seed,train_score,train_accuracy,test_score,test_accuracy,error
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Ridge,{'alpha': 0.1},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Ridge,{'alpha': 1.0},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Ridge,{'alpha': 1.0},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Ridge,{'alpha': 10.0},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Ridge,{'alpha': 100.0},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Ridge,{'alpha': 100.0},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Lasso,{'alpha': 0.0001},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Lasso,{'alpha': 0.001},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Lasso,{'alpha': 0.001},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Lasso,{'alpha': 0.01},,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Random Forest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2}",,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
test_molecule_combined_representation,aa to one-hot-encoding (one letter alphabetically),feature concatenation,Random Forest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2}",,,,,,The following Uniprot_ID exists in the trainingset but not in the protein-features dictionary: Q00535
